base_name,Critic_Score,Global_Sales,Price,if_not_score,Company_Size_Large,Company_Size_Medium,Company_Size_Small,ESRB_Rating_Level1,ESRB_Rating_Level2,ESRB_Rating_Level3,ESRB_Rating_Level4,Platform_Game Console,Platform_Handheld,Platform_PC,Genre_Action,Genre_Action-Adventure,Genre_Adventure,Genre_Fighting,Genre_MMO,Genre_Misc,Genre_Music,Genre_Party,Genre_Platform,Genre_Puzzle,Genre_Racing,Genre_Role-Playing,Genre_Shooter,Genre_Simulation,Genre_Sports,Genre_Strategy,Genre_Visual Novel
akibas_beat,0.0,0.024300000000000002,19.99,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akibas_trip,0.0,0.11340000000000001,24.132265625000002,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akibas_trip_2a,0.0,0.008100000000000001,21.20477168949772,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akibas_trip_plus,0.0,0.06480000000000001,23.841724137931035,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akibas_trip_undead__undressed,0.0,0.2106,31.439999999999998,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akibas_trip_undead__undressed,0.0,0.12960000000000002,37.97,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akogare_girls_collection_pika_pika_nurse_monogatari___shounika_haitsumo_oosawagi,0.0,0.016200000000000003,24.132265625000002,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akogare_girls_collection_wan_nyan_doubutsu_byouin___suteki_na_juui_san_ni_narou,0.0,0.024300000000000002,23.23166666666666,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aladdin_magic_racer,0.0,0.008100000000000001,40.0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
alan_wake,8.3,1.0773000000000001,15.2,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alias_carnival_sacrament,0.0,0.032400000000000005,24.132265625000002,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alice_in_wonderland,6.3,0.4131,21.20477168949772,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alice_in_wonderland,7.0,0.38880000000000003,24.132265625000002,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alice_madness_returns,6.800000000000001,0.8829,37.35,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
